Term,Definition,Created By,Used By,Purpose,Common Problems
Project Charter,"A document that formally authorizes the
existence of a project.",Project Sponsor,Project Manager,"Provides the PM authority to
use organizational resources.","No clear authority; project may be
seen as ""unauthorized."""
Business Case,"A justification for the project based on cost,
benefits, and risks.",Sponsor / Business Analyst,Steering Committee,"To prove the project is worth
the investment.","Money may be wasted on projects
with no ROI."
Stakeholder Register,"A list identifying all people or groups interested
in the project.",Project Manager,Project Team,"To track influence and
communication needs.","Key people might be ignored,
leading to resistance."
Scope Statement,"A detailed description of project deliverables
and boundaries.",Project Manager,Client / Team,"To define what is (and isn't)
included in the project.","""Scope creep"" where work grows
uncontrollably."
"WBS 
(Work Breakdown Structure)","A hierarchical decomposition of the total scope
of work.",Project Team,Project Manager,"To break down complex tasks
into manageable chunks.","Tasks are missed; poor cost and
time estimation."
Project Management Plan,"The master document defining how the project is
executed and controlled.",Project Manager,All Stakeholders,"To provide a baseline for
progress and decision-making.","Lack of direction; team works in
silos."
Gantt Chart,"A visual timeline showing tasks, durations, and
dependencies.",Project Manager,Project Team / Client,"To track the schedule and see
task overlaps.","Deadlines are missed; team
doesn't know what's next."
Risk Register,"A log of potential ""what-if"" scenarios and their
response plans.",Project Team,Project Manager,"To identify and mitigate threats
before they happen.","Project is blindsided by predictable
problems."
RACI Matrix,"A chart showing who is Responsible,
Accountable, Consulted, and Informed.",Project Manager,Project Team,"To clarify roles and avoid
confusion over task ownership.","Duplicate work or tasks ""falling
through the cracks."""
Change Request,"A formal proposal to modify any document,
deliverable, or baseline.",Any Stakeholder,"Change Control
Board (CCB)","To ensure changes are
evaluated for impact on
cost/time.","Uncontrolled changes lead to
budget and time overruns."
Issue Log,"A record of current problems affecting the
project.",Project Manager,Project Team,"To document, track, and resolve
active hurdles.","Problems are forgotten and
escalate into disasters."
Status Report,"A regular update on the current health of the
project.",Project Manager,Sponsor / Client,"To keep stakeholders informed
on progress vs. plan.","Stakeholders lose trust or lack
visibility."
Quality Management Plan,"Standards and criteria the project must meet to
be successful.",Quality Lead / PM,Project Team,"To ensure the final product is
fit for use.","High defect rates and client
dissatisfaction."
Resource Calendar,"A schedule showing when specific resources
(people/equip) are available.",Resource Manager,Project Manager,"To avoid over-allocating people
or tools.","Resource conflicts; team members
are overworked."
"Procurement Statement
of Work","A description of work to be done by an outside
vendor.",Project Manager,Potential Vendors,"To clearly define what a
contractor must deliver.","Disputes with vendors over what
was ""promised."""
Milestone List,A list of significant points or events in a project.,Project Manager,Client / Sponsor,"To show high-level progress
without getting lost in details.","Hard to judge if the project is
""on track"" overall."
Communication Plan,"A strategy for who gets what info, when,
and how.",Project Manager,All Stakeholders,"To ensure the right people are
always informed.","Information silos; stakeholders
feel left out."
Critical Path,"The sequence of tasks that determines the
shortest project duration.",Project Manager,Project Team,"To identify tasks that cannot be
delayed without delaying
the project.","Inability to prioritize tasks that
impact the end date."
Lesson Learned Register,"A document recording what went well and what
didn't.",Project Team,Organization (PMO),"To improve performance in
future projects.","Repeating the same mistakes in
the next project."
Project Closure Report,"A formal document confirming the project is
finished.",Project Manager,Sponsor / Client,"To handover deliverables and
release resources.","Projects ""drag on"" indefinitely
without a clean end."
Product Backlog,"An ordered list of everything that might
be needed in the product.",Product Owner,Scrum Team,"To serve as the single source of
requirements for any changes.","Team lacks a clear priority of what
to build next."
Sprint Backlog,"A set of backlog items selected for a specific
Sprint (short work cycle).",Development Team,Scrum Team,"To define the work the team
commits to doing in the next
2-4 weeks.","Lack of focus during the work
cycle; over-commitment."
Burn-down Chart,"A graphic representation of work left to do
versus time.",Scrum Master / PM,Project Team,"To track the progress of a sprint
and predict if work will finish.","Team won't realize they are
behind until the deadline hits."
Velocity,"A measure of the amount of work a team
can tackle during a single period.",Development Team,Product Owner / PM,"To help in planning future
capacity and timelines.","Unrealistic scheduling and
""guess-work"" planning."
"Cost Performance
Index (CPI)","A measure of the financial effectiveness of a
project ($EV / AC$).",Project Manager,Sponsor / Stakeholders,"To see if the project is under or
over budget.","Financial ""bleeding"" goes
unnoticed until funds run out."
"Schedule Performance
Index (SPI)",A measure of schedule efficiency ($EV / PV$).,Project Manager,Sponsor / Stakeholders,"To see if the project is ahead of
or behind schedule.","Delays are not quantified,
making recovery difficult."
Assumption Log,"A record of all factors believed to be true without
proof.",Project Manager,Project Team,"To track variables that could
become risks if proven false.","Decisions are made based on
""guesses"" that may fail."
Quality Metrics,"Specifically defined attributes to be measured
(e.g., failure rate).",Quality Lead,Project Team,"To provide an objective way to
measure ""success.""","Quality is subjective; arguments
over ""finished"" work."
"Responsibility Assignment
Matrix (RAM)","A grid showing project resources assigned to
each work package.",Project Manager,Functional Managers,"To ensure every task has a
body assigned to it.","Resources are under-utilized or
double-booked."
Variance Analysis,"The practice of comparing planned results with
actual results.",Project Manager,Project Board,"To identify why the project is
deviating from the plan.","No understanding of why the
project is failing or succeeding."
Kick-off Meeting Agenda,"A document outlining the first formal meeting
with all stakeholders.",Project Manager,All Stakeholders,"To align everyone on goals and
set the tone for the project.","Confusion from day one; lack of
team cohesion."
"Request for
Proposal (RFP)","A document that solicits proposals from vendors
for a solution.",Procurement Dept / PM,Potential Vendors,"To compare different vendors'
solutions and pricing fairly.","Biased vendor selection or
overpaying for services."
"SLA
(Service Level Agreement)","A contract between a service provider and a
customer.",Service Provider,Client,"To define the level of service
(uptime, speed) expected.","No legal recourse if the service
provider performs poorly."
"Definition of
Done (DoD)","A shared understanding of what it means for
work to be complete.",Project Team,Stakeholders,"To ensure quality and prevent
""half-baked"" deliverables.","Tasks are marked ""done"" but still
require bug fixes later."
"Baseline
(Schedule/Cost)","The original approved version of the project
schedule or budget.",Project Manager,Sponsor,"To serve as the ""yardstick"" for
measuring performance.","No way to know if you are over
budget or late."
User Stories,"Informal, natural language descriptions of
features from the end-user's view.",Product Owner / User,Development Team,"To capture functional
requirements in a way that
provides value.","Features are built that the
customer doesn't actually want."
Histogram (Resource),"A bar chart showing the amount of time a
resource is scheduled.",Project Manager,Resource Manager,"To visually identify resource
overloads or ""burnout.""","Team members are overworked
while others sit idle."
"Probability and
Impact Matrix","A grid mapping the likelihood and severity
of risks.",Risk Manager / PM,Project Team,"To prioritize which risks need
immediate attention.","Waste of time focusing on
""unlikely"" or ""minor"" risks."
Change Log,"A list of all changes submitted and their current
status.",Project Manager,Stakeholders,"To keep a history of how the
project evolved from the original
plan.","No record of why the budget or
scope increased."
"Final Deliverable
Acceptance","A formal sign-off from the customer on the end
product.",Client / Customer,Project Manager,"To legally and professionally
close the project and stop work.","The client keeps asking for ""one
more thing"" forever."
SIPOC Diagram,"A tool to document Suppliers, Inputs, Process,
Outputs, and Customers.",Project Team,Stakeholders,"To provide a high-level view of
a process before detailing it.","Misunderstanding of where the
project boundaries start/end."
"Ishikawa (Fishbone)
Diagram","A visualization tool to categorize potential causes
of a problem.",Project Team,Project Manager,"To identify the root cause of an
issue rather than just symptoms.","Solving the wrong problem; issues
keep recurring."
Monte Carlo Simulation,"A computerized mathematical technique to
account for risk in quantitative analysis.",Data Analyst / PM,Sponsor,"To predict the probability of
completing a project on a
specific date.","Unrealistic confidence in a single
""best-case"" date."
Work Package,"The lowest level of the Work
Breakdown Structure (WBS).",Project Manager,Team Lead,"To define specific tasks that
can be estimated and managed.","Work is too vague to assign or
estimate accurately."
