Sr. No.,Terminology / Document,Defination,Who creates / sends it (If any),Who recevies it (If Any),Purpose,"If not available, whats the issue?"
1,Commercial Invoice,"A detailed bill from the seller to the buyer, listing goods, value, and payment terms.",Seller/Shipper/Exporter,"Buyer/Consignee/
Importer",Used by customs to assess duties and taxes,Shipment is blocked at customs; fines for under-declaration; delays in seller payment.
2,Packing List,"An itemized list of products, including weights, dimensions, and quantities.",Seller/Shipper/Exporter,Customs Authorities,Determines tariff treatment and eligibility for duty benefits under trade agreements.,"Cargo could be blocked by customs; detention, and demurrages will be applied"
3,Certificate of Origin,Document certifying the country in which the goods were manufactured or produced.,Seller/Shipper/Exporter / Chamber of Commerce,Importer / Customs at Destination,Eligibility for Duty Free Concessions / FTA Benefits,"Cargo does not enter the destination country, or higher trade import duties; trade benefit denied"
4,Export Declaration,Statutory declaration of export cargo details/value.,Exxporter/CHA (Customs Broker),Customs Authorities,Government Export Permission,Goods cannot leave the country
5,Cargo Booking Confirmation,Confirmation from shipping line or forwarder that space has been allocated on a specific vessel for the cargo.,Freight Forwarder / Shipping Line,Exporter / Shipper,Space Reservation on Vessel,Shipment delayed
6,Bill of Lading (B/L),A legal contract between shipper and carrier acknowledging receipt of cargo for shipment. Acts as a title document.,Shipping Line/ Carrier,"Buyer/Consignee/
Importer",Title of Goods; Proof of Shipment,Cargo cannot be released at deatination
7,Letter of Credit (L/C),A bank guarantee issued by the importer's bank assuring payment to the exporter upon meeting stated conditions.,Importer's Bank,Expoter's Bank,Payment security for exporter,Payment Risk / Fraud
8,Insurance Certificate,Document evidencing that cargo is insured against loss or damage during transit.,Seller/Shipper/Exporter,"Buyer/Consignee/
Importer",Risk Coverage During Shipment,No claim possible if cargo is damaged/ lost
9,Fumigation Certificate,Proof that wooden packaging or cargo has been fumigated to prevent pest infestation per ISPM-15 standards.,Fumigation Agency,Importer / Customs at Destination,Pest control compliance for wood packaging,Shipment refused or fumigated at cost at destination
10,Dangerous Goods Declaration (DGD),"Mandatory document for shipments containing hazardous materials, detailing classification, packaging, and handling.",Exporter/ Freight Forwarder,"Shipping Line, Port Authority, Customs Authorities",Safe handling & regulatory compliance,Shipment refused; legal liability for exporter
11,Phytosanitary / Health Certificate,"Issued by government authority confirming goods (agri, food) are free from pests and meet importing country's standards.","Govt. Authority (e.g., APEDA, FSSAI)","Importer, Customs at destination",Compliance with sanitary regulations,Consignment rejected or destroyed at port
12,Shipping Instruction,"A formal document providing specific details on how a shipment should be handled, billed, and transported.",Seller/Shipper/Exporter,Freight Forwarder or Carrier,To provide the data needed to issue the Bill of Lading and file customs declarations.,Shipment delayed
13,Proforma Invoice,Preliminary commercial quote before order confirmation.,Exporter,Buyer / Bank,Buyer approval / LC initiation,Purchase delays
14,Sales Contract,"Agreed contract covering quantity, price, specs, shipment terms.",Buyer & Seller,Both parties / Bank,Commercial governance,Legal/payment disputes
15,Puchase Order (P/O),Formal order placed by buyer.,Importer / Buyer,Exporter,Order execution reference,Quantity/specification disputes
16,Certificate of Analysis (COA),Confirms product quality/specifications through test results.,Manufacturer,Buyer / Customs,Quality compliance,Shipment Rejection
17,Beneficiary Certificate,Declaration required under LC confirming terms fulfilled.,Exporter,Bank,LC Documentation Compliance,Payment delay / discrepancy
18,Shipping Bill,Export customs declaration permitting shipment from origin country.,CHA / Exporter,Customs / Port,Export clearance,Cargo cannot export
19,LUT (Letter of Undertaking),Undertaking to export without IGST payment under applicable rules.,Exporter,Tax / Customs Authorities,Tax-efficient export process,Working capital blockage
20,Drawback Declaration,Claim filing for eligible duty drawback incentives.,Exporter / CHA,Customs,Incentive recovery,Refund loss
21,Export License,Mandatory approval for restricted goods export.,Govt Authority,Exporter / Customs,Legal export permission,Cargo seizure / fines
22,AD Code Registration,Authorized dealer bank code linked for export proceeds realization.,Exporter Bank,Customs,Export remittance tracking,Shipping bill filing blocked
23,GST LUT Acknowledgement,Proof of LUT acceptance.,Tax Authority,Exporter,Audit support,Tax disputes
24,"SCOMET (Special Chemicals, Organisms, Materials, Equipment, and Technologies) License",Export license for dual-use / controlled items.,DGFT / Govt Authority,Exporter / Customs,Strategic goods compliance,Severe legal penalty
25,Bill of Entry,Primary import customs clearance declaration.,CHA / Importer,Customs,Import assessment and release,Cargo stuck at port
26,Duty Payment Challan,Evidence of customs duty/tax payment.,Importer,Customs,Final release processing,Release delay
27,Import License,Mandatory authorization for restricted imports.,Govt Authority,Importer / Customs,Legal importation,Seizure / penalties
28,ADC / NOC (Assistant Drug Controller No-Objection Certificate),Additional departmental clearance / no objection certificate.,Regulatory Agency,Customs / Importer,Product-specific approvals,Cargo hold
