Sr. No.,Terminology / Document,Defination,Who creates / sends it (If any),Who recevies it (If Any),Purpose,"If not available, whats the issue?"
1.0,Commercial Invoice,"A detailed bill from the seller to the buyer, listing goods, value, and payment terms.",Seller/Shipper/Exporter,Buyer/Consignee/ Importer,Used by customs to assess duties and taxes,Shipment is blocked at customs; fines for under-declaration; delays in seller payment.
2.0,Packing List,"An itemized list of products, including weights, dimensions, and quantities.",Seller/Shipper/Exporter,Customs Authorities,Determines tariff treatment and eligibility for duty benefits under trade agreements.,"Cargo could be blocked by customs; detention, and demurrages will be applied"
3.0,Certificate of Origin,Document certifying the country in which the goods were manufactured or produced.,Seller/Shipper/Exporter / Chamber of Commerce,Importer / Customs at Destination,Eligibility for Duty Free Concessions / FTA Benefits,"Cargo does not enter the destination country, or higher trade import duties; trade benefit denied"
4.0,Export Declaration,Statutory declaration of export cargo details/value.,Exxporter/CHA (Customs Broker),Customs Authorities,Government Export Permission,Goods cannot leave the country
5.0,Cargo Booking Confirmation,Confirmation from shipping line or forwarder that space has been allocated on a specific vessel for the cargo.,Freight Forwarder / Shipping Line,Exporter / Shipper,Space Reservation on Vessel,Shipment delayed
6.0,Bill of Lading (B/L),A legal contract between shipper and carrier acknowledging receipt of cargo for shipment. Acts as a title document.,Shipping Line/ Carrier,Buyer/Consignee/ Importer,Title of Goods; Proof of Shipment,Cargo cannot be released at deatination
7.0,Letter of Credit (L/C),A bank guarantee issued by the importer's bank assuring payment to the exporter upon meeting stated conditions.,Importer's Bank,Expoter's Bank,Payment security for exporter,Payment Risk / Fraud
8.0,Insurance Certificate,Document evidencing that cargo is insured against loss or damage during transit.,Seller/Shipper/Exporter,Buyer/Consignee/ Importer,Risk Coverage During Shipment,No claim possible if cargo is damaged/ lost
9.0,Fumigation Certificate,Proof that wooden packaging or cargo has been fumigated to prevent pest infestation per ISPM-15 standards.,Fumigation Agency,Importer / Customs at Destination,Pest control compliance for wood packaging,Shipment refused or fumigated at cost at destination
10.0,Dangerous Goods Declaration (DGD),"Mandatory document for shipments containing hazardous materials, detailing classification, packaging, and handling.",Exporter/ Freight Forwarder,"Shipping Line, Port Authority, Customs Authorities",Safe handling & regulatory compliance,Shipment refused; legal liability for exporter
